Texto en Inglés (Origen),Texto en Español (Destino)
These included: dose-dependent adrenocortical toxicity (lipofuscin pigment accumulation and/ or parenchymal cell loss) in rats after 104 weeks at 20 to 60 mg/ kg/ day (3 to 10 times the mean steady-state AUC at the maximum recommended human dose) and increased adrenocortical carcinomas and combined adrenocortical adenomas/ carcinomas in female rats at 60 mg/ kg/ day (10 times the mean steady-state AUC at the maximum recommended human dose).,Estos incluían: toxicidad adrenocortical dosis dependiente (acumulación del pigmento lipofuscina y/ o pérdida de células parenquimales) en ratas después de 104 semanas entre 20 y 60 mg/ kg/ día (3 a 10 veces el AUC en el estado estacionario de la dosis máxima recomendada en humanos) y aumento de los carcinomas adrenocorticales y de la combinación de adenomas/ carcinomas adrenocorticales en ratas hembras a 60 mg/ kg/ día (10 veces el AUC media en el estado estacionario de la dosis máxima recomendada para humanos).
The highest nontumorigenic exposure in female rats was 7 times the human exposure at the recommended dose.,La exposición no tumorgénica en hembras de rata fue 7 veces más alta respecto a la exposición humana a la dosis recomendada.
These included: dose-dependent adrenocortical toxicity (lipofuscin pigment accumulation and/ or parenchymal cell loss) in rats after 104 weeks at 20 to 60 mg/ kg/ day (3 to 10 times the mean steady-state AUC at the maximum recommended human dose) and increased adrenocortical carcinomas and combined adrenocortical adenomas/ carcinomas in female rats at 60 mg/ kg/ day (10 times the mean steady-state AUC at the maximum recommended human dose).,Estos incluían: toxicidad adrenocortical dosis dependiente (acumulación del pigmento lipofuscina y/ o pérdida de células parenquimales) en ratas después de 104 semanas entre 20 y 60 mg/ kg/ día (3 a 10 veces el AUC en el estado estacionario de la dosis máxima recomendada en humanos) y aumento de los carcinomas adrenocorticales y de la combinación de adenomas/ carcinomas adrenocorticales en ratas hembras a 60 mg/ kg/ día (10 veces el AUC media en el estado estacionario de la dosis máxima recomendada para humanos).
The highest nontumorigenic exposure in female rats was 7 times the human exposure at the recommended dose.,La exposición no tumorgénica en hembras de rata fue 7 veces más alta respecto a la exposición humana a la dosis recomendada.
These included: dose-dependent adrenocortical toxicity (lipofuscin pigment accumulation and/ or parenchymal cell loss) in rats after 104 weeks at 20 to 60 mg/ kg/ day (3 to 10 times the mean steady-state AUC at the maximum recommended human dose) and increased adrenocortical carcinomas and combined adrenocortical adenomas/ carcinomas in female rats at 60 mg/ kg/ day (10 times the mean steady-state AUC at the maximum recommended human dose).,Estos incluían: toxicidad adrenocortical dosis dependiente (acumulación del pigmento lipofuscina y/ o pérdida de células parenquimales) en ratas después de 104 semanas entre 20 y 60 mg/ kg/ día (3 a 10 veces el AUC en el estado estacionario de la dosis máxima recomendada en humanos) y aumento de los carcinomas adrenocorticales y de la combinación de adenomas/ carcinomas adrenocorticales en ratas hembras a 60 mg/ kg/ día (10 veces el AUC media en el estado estacionario de la dosis máxima recomendada para humanos).
The highest nontumorigenic exposure in female rats was 7 times the human exposure at the recommended dose.,La exposición no tumorgénica en hembras de rata fue 7 veces más alta respecto a la exposición humana a la dosis recomendada.
These included: dose-dependent adrenocortical toxicity (lipofuscin pigment accumulation and/ or parenchymal cell loss) in rats after 104 weeks at 20 to 60 mg/ kg/ day (3 to 10 times the mean steady-state AUC at the maximum recommended human dose) and increased adrenocortical carcinomas and combined adrenocortical adenomas/ carcinomas in female rats at 60 mg/ kg/ day (10 times the mean steady-state AUC at the maximum recommended human dose).,Estos incluían: toxicidad adrenocortical dosis dependiente (acumulación del pigmento lipofuscina y/ o pérdida de células parenquimales) en ratas después de 104 semanas entre 20 y 60 mg/ kg/ día (3 a 10 veces el AUC en el estado estacionario de la dosis máxima recomendada en humanos) y aumento de los carcinomas adrenocorticales y de la combinación de adenomas/ carcinomas adrenocorticales en ratas hembras a 60 mg/ kg/ día (10 veces el AUC media en el estado estacionario de la dosis máxima recomendada para humanos).
The highest nontumorigenic exposure in female rats was 7 times the human exposure at the recommended dose.,La exposición no tumorgénica en hembras de rata fue 7 veces más alta respecto a la exposición humana a la dosis recomendada.
These included: dose-dependent adrenocortical toxicity (lipofuscin pigment accumulation and/ or parenchymal cell loss) in rats after 104 weeks at 20 to 60 mg/ kg/ day (3 to 10 times the mean steady-state AUC at the maximum recommended human dose) and increased adrenocortical carcinomas and combined adrenocortical adenomas/ carcinomas in female rats at 60 mg/ kg/ day (10 times the mean steady-state AUC at the maximum recommended human dose).,Estos incluían: toxicidad adrenocortical dosis dependiente (acumulación del pigmento lipofuscina y/ o pérdida de células parenquimales) en ratas después de 104 semanas entre 20 y 60 mg/ kg/ día (3 a 10 veces el AUC en el estado estacionario de la dosis máxima recomendada en humanos) y aumento de los carcinomas adrenocorticales y de la combinación de adenomas/ carcinomas adrenocorticales en ratas hembras a 60 mg/ kg/ día (10 veces el AUC media en el estado estacionario de la dosis máxima recomendada para humanos).
The highest nontumorigenic exposure in female rats was 7 times the human exposure at the recommended dose.,La exposición no tumorgénica en hembras de rata fue 7 veces más alta respecto a la exposición humana a la dosis recomendada.
